# X	Y
0.000000000000000000e+00	1.666666666666666574e-01
1.000000000000000056e-01	1.827072929760747699e-01
2.000000000000000111e-01	2.004581284451007750e-01
3.000000000000000444e-01	2.203383457251752719e-01
4.000000000000000222e-01	2.430681897278565429e-01
5.000000000000000000e-01	2.702364145213694280e-01
6.000000000000000888e-01	2.759125285234021452e-01
7.000000000000000666e-01	2.848927321519355571e-01
8.000000000000000444e-01	2.960057667253724323e-01
9.000000000000000222e-01	3.090640621652531173e-01
1.000000000000000000e+00	3.241720274771735522e-01
1.100000000000000089e+00	3.415911782547333964e-01
1.200000000000000178e+00	3.617306471438329063e-01
1.300000000000000044e+00	3.852205095590868766e-01
1.400000000000000133e+00	4.131620401255771124e-01
1.500000000000000000e+00	4.481468534623357369e-01
1.600000000000000089e+00	4.486613535926441410e-01
1.700000000000000178e+00	4.539484574188064614e-01
1.800000000000000044e+00	4.626623871766763485e-01
1.900000000000000133e+00	4.745220817535449886e-01

# X	Z
0.000000000000000000e+00	1.817120592832139447e+00
1.000000000000000056e-01	1.084767226622610048e+00
2.000000000000000111e-01	1.325220067954520298e+00
3.000000000000000444e-01	1.732017365186134805e+00
4.000000000000000222e-01	2.158691722781537869e+00
5.000000000000000000e-01	2.412308771404174657e+00
6.000000000000000888e-01	2.406772525577254740e+00
7.000000000000000666e-01	2.232996185409843015e+00
8.000000000000000444e-01	2.088088644645135439e+00
9.000000000000000222e-01	2.121258490542296204e+00
1.000000000000000000e+00	2.322113378912783244e+00
1.100000000000000089e+00	2.541506585740307855e+00
1.200000000000000178e+00	2.625521593904007744e+00
1.300000000000000044e+00	2.550126314292858076e+00
1.400000000000000133e+00	2.444297127064826824e+00
1.500000000000000000e+00	2.482574064107124112e+00
1.600000000000000089e+00	2.736694510917308865e+00
1.700000000000000178e+00	3.110071190865310697e+00
1.800000000000000044e+00	3.410395016156340997e+00
1.900000000000000133e+00	3.501449398751532716e+00
